,word,frequency,rankdata,log_freq,log_rank
0,way,5,1443.0,1.6094379124341003,7.274479558773871
1,free,6,1481.5,1.791759469228055,7.30081036701362
2,QA,2,623.0,0.6931471805599453,6.434546518787453
3,hahabeautiful,2,623.0,0.6931471805599453,6.434546518787453
4,home,4,1344.0,1.3862943611198906,7.203405521083095
5,lifeStarlink,2,623.0,0.6931471805599453,6.434546518787453
6,terminals,6,1481.5,1.791759469228055,7.30081036701362
7,near,6,1481.5,1.791759469228055,7.30081036701362
8,conflict,2,623.0,0.6931471805599453,6.434546518787453
9,areas,2,623.0,0.6931471805599453,6.434546518787453
10,jammed,2,623.0,0.6931471805599453,6.434546518787453
11,several,8,1533.5,2.0794415416798357,7.335307983554306
12,hours,2,623.0,0.6931471805599453,6.434546518787453
13,time,16,1577.5,2.772588722239781,7.363596594415368
14,latest,4,1344.0,1.3862943611198906,7.203405521083095
15,software,14,1572.5,2.6390573296152584,7.360421988574595
16,update,4,1344.0,1.3862943611198906,7.203405521083095
17,bypasses,2,623.0,0.6931471805599453,6.434546518787453
18,jamming,4,1344.0,1.3862943611198906,7.203405521083095
19,curious,2,623.0,0.6931471805599453,6.434546518787453
20,see,10,1552.5,2.302585092994046,7.347621813807634
21,whats,4,1344.0,1.3862943611198906,7.203405521083095
22,nextExactlynews,2,623.0,0.6931471805599453,6.434546518787453
23,sources,4,1344.0,1.3862943611198906,7.203405521083095
24,partially,2,623.0,0.6931471805599453,6.434546518787453
25,propaganda,2,623.0,0.6931471805599453,6.434546518787453
26,othersStarlink,2,623.0,0.6931471805599453,6.434546518787453
27,told,6,1481.5,1.791759469228055,7.30081036701362
28,governments,2,623.0,0.6931471805599453,6.434546518787453
29,Ukraine,8,1533.5,2.0794415416798357,7.335307983554306
30,block,4,1344.0,1.3862943611198906,7.203405521083095
31,Russian,6,1481.5,1.791759469228055,7.30081036701362
32,news,4,1344.0,1.3862943611198906,7.203405521083095
33,unless,8,1533.5,2.0794415416798357,7.335307983554306
34,gunpoint,2,623.0,0.6931471805599453,6.434546518787453
35,Sorry,2,623.0,0.6931471805599453,6.434546518787453
36,speech,2,623.0,0.6931471805599453,6.434546518787453
37,absolutistSpaceX,2,623.0,0.6931471805599453,6.434546518787453
38,reprioritized,2,623.0,0.6931471805599453,6.434546518787453
39,cyber,2,623.0,0.6931471805599453,6.434546518787453
40,defense,2,623.0,0.6931471805599453,6.434546518787453
41,amp,80,1586.0,4.382026634673881,7.368970402194793
42,overcoming,2,623.0,0.6931471805599453,6.434546518787453
43,signal,4,1344.0,1.3862943611198906,7.203405521083095
44,cause,2,623.0,0.6931471805599453,6.434546518787453
45,slight,2,623.0,0.6931471805599453,6.434546518787453
46,delays,2,623.0,0.6931471805599453,6.434546518787453
47,Starship,6,1481.5,1.791759469228055,7.30081036701362
48,Starlink,18,1580.0,2.8903717578961645,7.365180126021013
49,V2Exactlyalso,2,623.0,0.6931471805599453,6.434546518787453
50,sympathies,2,623.0,0.6931471805599453,6.434546518787453
51,great,6,1481.5,1.791759469228055,7.30081036701362
52,people,26,1584.0,3.258096538021482,7.367708572374371
53,Russia,2,623.0,0.6931471805599453,6.434546518787453
54,wantHold,2,623.0,0.6931471805599453,6.434546518787453
55,Strong,2,623.0,0.6931471805599453,6.434546518787453
56,UkraineObviously,2,623.0,0.6931471805599453,6.434546518787453
57,would,18,1580.0,2.8903717578961645,7.365180126021013
58,negatively,2,623.0,0.6931471805599453,6.434546518787453
59,affect,4,1344.0,1.3862943611198906,7.203405521083095
60,Tesla,32,1585.0,3.4657359027997265,7.368339686311381
61,sustainable,4,1344.0,1.3862943611198906,7.203405521083095
62,energy,8,1533.5,2.0794415416798357,7.335307983554306
63,solutions,2,623.0,0.6931471805599453,6.434546518787453
64,simply,4,1344.0,1.3862943611198906,7.203405521083095
65,react,2,623.0,0.6931471805599453,6.434546518787453
66,instantaneously,2,623.0,0.6931471805599453,6.434546518787453
67,make,20,1582.5,2.995732273553991,7.366761154018331
68,oil,4,1344.0,1.3862943611198906,7.203405521083095
69,gas,4,1344.0,1.3862943611198906,7.203405521083095
70,exportsHate,2,623.0,0.6931471805599453,6.434546518787453
71,say,8,1533.5,2.0794415416798357,7.335307983554306
72,need,4,1344.0,1.3862943611198906,7.203405521083095
73,increase,2,623.0,0.6931471805599453,6.434546518787453
74,output,4,1344.0,1.3862943611198906,7.203405521083095
75,immediately,2,623.0,0.6931471805599453,6.434546518787453
76,Extraordinary,2,623.0,0.6931471805599453,6.434546518787453
77,times,6,1481.5,1.791759469228055,7.30081036701362
78,demand,4,1344.0,1.3862943611198906,7.203405521083095
79,extraordinary,2,623.0,0.6931471805599453,6.434546518787453
80,measuresHaha,2,623.0,0.6931471805599453,6.434546518787453
81,sureIch,2,623.0,0.6931471805599453,6.434546518787453
82,möchte,2,623.0,0.6931471805599453,6.434546518787453
83,mich,2,623.0,0.6931471805599453,6.434546518787453
84,recht,2,623.0,0.6931471805599453,6.434546518787453
85,herzlich,2,623.0,0.6931471805599453,6.434546518787453
86,bedanken,2,623.0,0.6931471805599453,6.434546518787453
87,Die,2,623.0,0.6931471805599453,6.434546518787453
88,Zukunft,2,623.0,0.6931471805599453,6.434546518787453
89,ist,2,623.0,0.6931471805599453,6.434546518787453
90,sehr,2,623.0,0.6931471805599453,6.434546518787453
91,spannendfutureGameAlmost,2,623.0,0.6931471805599453,6.434546518787453
92,Viasat,2,623.0,0.6931471805599453,6.434546518787453
93,user,4,1344.0,1.3862943611198906,7.203405521083095
94,rendered,2,623.0,0.6931471805599453,6.434546518787453
95,permanently,2,623.0,0.6931471805599453,6.434546518787453
96,unusable,2,623.0,0.6931471805599453,6.434546518787453
97,cyberattack,2,623.0,0.6931471805599453,6.434546518787453
98,day,6,1481.5,1.791759469228055,7.30081036701362
99,invasion,2,623.0,0.6931471805599453,6.434546518787453
100,yesYes,2,623.0,0.6931471805599453,6.434546518787453
101,provided,2,623.0,0.6931471805599453,6.434546518787453
102,metal,2,623.0,0.6931471805599453,6.434546518787453
103,particles,2,623.0,0.6931471805599453,6.434546518787453
104,paintPlace,2,623.0,0.6931471805599453,6.434546518787453
105,light,2,623.0,0.6931471805599453,6.434546518787453
106,camouflage,2,623.0,0.6931471805599453,6.434546518787453
107,antenna,8,1533.5,2.0794415416798357,7.335307983554306
108,avoid,4,1344.0,1.3862943611198906,7.203405521083095
109,visual,2,623.0,0.6931471805599453,6.434546518787453
110,detectionTurn,2,623.0,0.6931471805599453,6.434546518787453
111,needed,4,1344.0,1.3862943611198906,7.203405521083095
112,place,2,623.0,0.6931471805599453,6.434546518787453
113,away,8,1533.5,2.0794415416798357,7.335307983554306
114,far,6,1481.5,1.791759469228055,7.30081036701362
115,possibleImportant,2,623.0,0.6931471805599453,6.434546518787453
116,warning,2,623.0,0.6931471805599453,6.434546518787453
